Fecha,Signo,Cantidad_USD,NAV,Cambio_%,AUM
2014-12-25,Salida,0.0,104.31,0.0,41275950792.0
2014-12-26,Salida,-380732814.0,105.06,0.722047,40931385264.0
2014-12-29,Salida,-236392942.5,105.03,-0.029163,40990536229.5
2014-12-30,Entrada,288840447.5,104.3,-0.701028,41267422481.0
2014-12-31,Salida,-88652093.0,103.17,-1.077293,40889474189.0
2015-01-01,Salida,0.0,103.17,0.0,40889474189.0
2015-01-02,Entrada,25793250.0,103.05,-0.123666,40474767900.0
2015-01-05,Entrada,92740869.0,101.37,-1.625769,40517455212.0
2015-01-06,Salida,-648768832.0,100.15,-1.205039,39209966284.0
2015-01-07,Salida,-1166730957.0,101.35,1.19776,37570739787.0
2015-01-08,Salida,-354718420.0,103.31,1.935102,37666028798.0
2015-01-09,Entrada,1151898806.5,102.64,-0.643582,39546803868.0
2015-01-12,Entrada,87247765.5,101.59,-1.028054,39379535569.5
2015-01-13,Entrada,25397297.5,101.5,-0.090876,39000090041.0
2015-01-14,Salida,-837349177.5,101.0,-0.488143,38127299215.5
2015-01-15,Entrada,565607952.0,99.63,-1.355506,38506791375.0
2015-01-16,Salida,-318823488.0,100.91,1.280909,37666006137.0
2015-01-19,Salida,0.0,100.91,0.000456,38148473547.0
2015-01-20,Salida,-504545000.0,101.62,0.700691,37644102450.0
2015-01-21,Salida,-289605771.0,102.12,0.499882,37618265412.0
2015-01-22,Salida,-408496080.0,104.03,1.865761,37397816124.0
2015-01-23,Salida,-410916169.5,104.22,0.180468,37684653772.5
2015-01-26,Entrada,474188032.5,104.16,-0.057255,38226850620.0
2015-01-27,Entrada,489540156.0,101.47,-2.577568,38694503820.0
2015-01-28,Salida,-410964637.5,100.87,-0.594278,37286161987.5
2015-01-29,Salida,-95826234.0,101.87,0.991705,36968752380.0
2015-01-30,Salida,-438041215.0,101.07,-0.78875,36897332110.0
2015-02-02,Entrada,207186427.5,102.05,0.968738,36813490837.5
2015-02-03,Salida,-219398083.0,103.04,0.972575,36950719002.0
